epoch,train_loss,val_loss,IoU,Dice,Precision,Recall,F1,Accuracy
1,0.6779486354065951,0.5831854797544933,0.181241443810062,0.3068660429411834,0.19058392563225657,0.7871105216237902,0.3068660398025128,0.603916793903976
2,0.5758162953708538,0.508107963693205,0.260547609496637,0.4133879712812737,0.3099475082532019,0.6204561762083841,0.4133879668381694,0.8038507693659055
3,0.5312961476347434,0.47947727025501313,0.2975780758231269,0.45866692936277664,0.34306134625337736,0.6917867988664399,0.45866692493056077,0.8181045774429557
4,0.5038080303757279,0.45537666353599104,0.33815150816613493,0.5054009297191668,0.45471131946146154,0.5688098396062956,0.5054009247813003,0.8759871386977093
5,0.48261957044008547,0.4411763982482688,0.33285255210057807,0.4994589260094852,0.4117788981592072,0.634579954048976,0.4994589212361795,0.8583199637276779
6,0.472559721381576,0.4332627236212372,0.3335329380619179,0.5002245217079617,0.4164772434180724,0.6261297500235508,0.5002245169101359,0.8606340519334897
7,0.4639493338960819,0.44391316380450335,0.3366579736805164,0.503730917421637,0.5922175863352276,0.4382495125857926,0.5037309125332604,0.9038116616546785
8,0.4605989935536864,0.4206797855871695,0.36539841510752447,0.5352260718403565,0.4964783865351173,0.5805338725692666,0.53522606687081,0.8876910335803151
9,0.45193325881920166,0.4143868907103463,0.37265435506783195,0.5429689618395108,0.5217255076967854,0.5660158146883769,0.5429689568477984,0.8938593788752474
10,0.44715445666086107,0.4234944236656976,0.36158685838339344,0.5311256585021746,0.566523361906666,0.49989128307712016,0.5311256535216928,0.9016856037119703
11,0.44130048770753166,0.41249320447129545,0.37391977971508106,0.5443109346495082,0.5711731813324241,0.5198618570299949,0.5443109296605653,0.9030401643621851
12,0.4364000490260503,0.39966037065263776,0.3822094460265418,0.5530412878095791,0.500001757277763,0.6186688699962991,0.5530412828658408,0.8886089022197414
13,0.43453058032762437,0.40934244192466535,0.3748949216766427,0.5453433797245679,0.5867292422147822,0.5094112616236474,0.5453433747494428,0.905384043537119
14,0.42740060050020773,0.4010427130593194,0.38148002690381155,0.5522772960515235,0.5169600372170134,0.5927739485261566,0.5522772910748579,0.8929409450954855
15,0.42521601103285633,0.41641264176242565,0.3711280460222748,0.5413470275062051,0.5827341375717211,0.5054488921745522,0.5413470225314239,0.9045956727688899
16,0.4231614191380758,0.4456674223223691,0.3197279671653667,0.4845361697564202,0.6901469595137703,0.3733165184492591,0.48453616520020915,0.9115227593315965
17,0.4232069382434169,0.40693135062853497,0.3807130399010412,0.5514730851362537,0.631168217226625,0.4896472498242374,0.5514730802159671,0.9112782957692619
18,0.4182265232164393,0.41124075304263485,0.3775901038218981,0.548189338431419,0.6026890446714323,0.5027287947641893,0.5481893334723026,0.9076914307932368
19,0.41011988320363263,0.40170989906977095,0.38644181748079776,0.5574583983379454,0.5986350984662276,0.5215817587498965,0.5574583933615997,0.9077542421048274
20,0.4069949282067163,0.41621936156005457,0.3726203556843244,0.5429328716293929,0.6469363471140759,0.4677378907467369,0.5429328667586144,0.9122759299303482
21,0.4071125548194956,0.39425370696360473,0.3977631602644692,0.5691424292355922,0.5964245376981842,0.5442470628311297,0.569142424246052,0.9082108754960311
22,0.4042578321443033,0.40442099631148043,0.3890248202262814,0.5601409198187066,0.633192330081023,0.5022018800779826,0.5601409148852556,0.9121428797484699
23,0.40132302156201116,0.38408201649075463,0.40492307512638137,0.5764345141671989,0.5520120838466079,0.6031180013480855,0.5764345091769841,0.9012686108785956
24,0.40188348088314924,0.39089833822830644,0.39597523136931334,0.567309823944227,0.6024845378293605,0.5360157422104286,0.5673098189612676,0.9089213376322745
25,0.3987770276094871,0.3958324151379721,0.39555462289663984,0.5668780231269188,0.6203684717485984,0.5218796431185774,0.5668780181640891,0.9111672053261402
26,0.399955212557442,0.39941228413707996,0.3964317340056488,0.5677781797016154,0.634678402324199,0.5136367260261028,0.5677781747571674,0.9128903182095314
27,0.3966963291956634,0.39686965311645833,0.3929667070362156,0.5642155050099111,0.6086256607198681,0.5258456364651016,0.5642155000365305,0.9095169148117139
28,0.39593165186504836,0.4071975626327373,0.3858785520076184,0.5568721031848355,0.6563905646789305,0.48355765258419775,0.5568720982997682,0.9142756386408724
29,0.397664580553297,0.3902093809117716,0.4028405785494418,0.5743212517647373,0.6339181706235827,0.5249672037282619,0.5743212468089277,0.9133154652106061
30,0.3875749669771977,0.39743044814735495,0.39845848702263975,0.5698538651239765,0.6464831427399403,0.5094656200850854,0.569853860194224,0.9143258553964113
31,0.38966831501829563,0.39182160345334854,0.3979046957175665,0.5692873011107753,0.635760647999136,0.5153986649561834,0.5692872961654342,0.9131275964161699
32,0.3877188828256395,0.42203274574229327,0.3616871967705793,0.5312338951682416,0.7111107329235044,0.4239858523044333,0.5312338904881627,0.9166502775969322
33,0.39077324893266435,0.40064420413087914,0.3931818551375035,0.5644372322071299,0.6642391337406082,0.4907083269915093,0.5644372273200028,0.9156391608021239
